year,stateProvince,decimalLatitude,decimalLongitude,,,,,
1974,Tasmania,-43.0786187,147.3510423,,,,,
1975,Tasmania,-40.75,144.7,,,,,
1975,Tasmania,-40.75,144.7,,,,,
1975,Tasmania,-40.89,144.69,,,,,
1976,Tasmania,-41.183,146.35,,,,,
1976,Tasmania,-42.5967,147.9049,,,,,
1977,Tasmania,-40.716,145.25,,,,,
1977,Tasmania,-43.4,147.016,,,,,
1977,Tasmania,-39.833,144,,,,,
1977,Tasmania,-43.4,147.016,,,,,
1977,Tasmania,-40.93332,148.33332,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-42.5886091,148.0810227,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-41.16,146.337,,,,,
1978,Tasmania,-41.08,146.73,,,,,
1978,Tasmania,-43,147.33,,,,,
1978,Tasmania,-43,147.33,,,,,
1978,Tasmania,-41.16,146.337,,,,,
1978,Tasmania,-43.14862,147.2610449,,,,,
1978,Tasmania,-42.8286153,147.551035,,,,,
1978,Tasmania,-41.209,148.289,,,,,
1978,Tasmania,-41.209,148.289,,,,,
1978,Tasmania,-42.8942,147.5018,,,,,
1979,Tasmania,-39.4733,148.697,,,,,
1979,Tasmania,-39.5717,148.067,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41.05,146.73333,,,,,
1979,Tasmania,-41.23333,148.3,,,,,
1979,Tasmania,-41.08332,145.94999,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41.23333,148.3,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-43.018613,147.9510317,,,,,
1979,Tasmania,-40.9186281,144.7110482,,,,,
1979,Tasmania,-42.5967,147.9049,,,,,
1979,Tasmania,-40.9419204,145.6077354,,,,,
1979,Tasmania,-42.8942,147.5018,,,,,
1979,Tasmania,-43.0036185,147.3230416,,,,,
1980,Tasmania,-40.0667,143.367,,,,,
1980,Tasmania,-40.6717,145.25,,,,,
1980,Tasmania,-39.92,144,,,,,
1980,Tasmania,-39.5467,144.267,,,,,
1980,Tasmania,-39.57,143.1,,,,,
1980,Tasmania,-40.07,144.05,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-39.92,144.13,,,,,
1980,Tasmania,-40.1,143.3,,,,,
1980,Tasmania,-39.33,143.57,,,,,
1980,Tasmania,-40.3967,145.533,,,,,
1980,Tasmania,-39.93,143.85,,,,,
1980,Tasmania,-39.32,143.63,,,,,
1980,Tasmania,-39.28,143.65,,,,,
1980,Tasmania,-39.42,143.38,,,,,
1980,Tasmania,-40.3967,145.533,,,,,
1980,Tasmania,-39.48,143.23,,,,,
1980,Tasmania,-39.33,143.57,,,,,
1980,Tasmania,-40.3967,145.533,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-39.58,143.95,,,,,
1980,Tasmania,-39.92,144.13,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-40.515,144.933,,,,,
1980,Tasmania,-39.92,144,,,,,
1980,Tasmania,-40.07,144.05,,,,,
1980,Tasmania,-39.92,144,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-40.515,144.933,,,,,
1980,Tasmania,-39.93,143.85,,,,,
1980,Tasmania,-40.53,145.38,,,,,
1980,Tasmania,-40.07,144.05,,,,,
1980,Tasmania,-39.28,143.65,,,,,
1980,Tasmania,-40.53,145.38,,,,,
1980,Tasmania,-39.93,143.85,,,,,
1980,Tasmania,-39.92,144.13,,,,,
1980,Tasmania,-40.07,144.05,,,,,
1980,Tasmania,-40.37,145.283,,,,,
1980,Tasmania,-40.48333,148.05,,,,,
1980,Tasmania,-41,148.35,,,,,
1980,Tasmania,-40.48333,148.05,,,,,
1981,Tasmania,-41.316,144.733,,,,,
1981,Tasmania,-39.805,147.32,,,,,
1981,Tasmania,-39.7283,147.327,,,,,
1981,Tasmania,-39.805,147.322,,,,,
1981,Tasmania,-40.4483,147.422,,,,,
1981,Tasmania,-40.934,146.09,,,,,
1981,Tasmania,-39.215,146.455,,,,,
1981,Tasmania,-39.805,147.322,,,,,
1981,Tasmania,-39.215,146.455,,,,,
1981,Tasmania,-40.6783,148.615,,,,,
1981,Tasmania,-40.1658,147.53,,,,,
1981,Tasmania,-39.28,147.553,,,,,
1981,Tasmania,-39.7467,148.677,,,,,
1981,Tasmania,-40.7308,148.624,,,,,
1981,Tasmania,-38.8767,148.42,,,,,
1981,Tasmania,-39.7283,147.327,,,,,
1981,Tasmania,-40.5512,145.745,,,,,
1981,Tasmania,-39.7283,147.327,,,,,
1981,Tasmania,-40.1033,148.417,,,,,
1981,Tasmania,-39.805,147.322,,,,,
1981,Tasmania,-40.5512,145.745,,,,,
1981,Tasmania,-39.636,145.085,,,,,
1981,Tasmania,-40.1033,148.417,,,,,
1981,Tasmania,-40.6783,148.615,,,,,
1981,Tasmania,-40.1792,145.72,,,,,
1981,Tasmania,-40.325,143.813,,,,,
1981,Tasmania,-39.636,145.085,,,,,
1981,Tasmania,-40.7308,148.624,,,,,
1981,Tasmania,-40.6783,148.615,,,,,
1981,Tasmania,-39.215,146.455,,,,,
1981,Tasmania,-39.45,147.28,,,,,
1981,Tasmania,-40.23,148.66,,,,,
1981,Tasmania,-40.5512,145.745,,,,,
1981,Tasmania,-40.5983,147.085,,,,,
1981,Tasmania,-40.325,143.813,,,,,
1981,Tasmania,-39.2267,143.927,,,,,
1981,Tasmania,-39.805,147.32,,,,,
1981,Tasmania,-39.6367,143.12,,,,,
1981,Tasmania,-40.1033,148.417,,,,,
1981,Tasmania,-40.445,143.69,,,,,
1981,Tasmania,-40.1658,147.53,,,,,
1981,Tasmania,-40.1792,145.72,,,,,
1981,Tasmania,-40.8017,144.633,,,,,
1981,Tasmania,-40.4483,147.422,,,,,
1981,Tasmania,-39.805,147.322,,,,,
1981,Tasmania,-41.3,144.72499,,,,,
1981,Tasmania,-41.3,144.72499,,,,,
1981,Tasmania,-43.269,147.248,,,,,
1981,Tasmania,-41.124,146.546,,,,,
1981,Tasmania,-43.0786187,147.3510423,,,,,
1981,Tasmania,-42.88,147.963,,,,,
1981,Tasmania,-41.124,146.546,,,,,
1981,Tasmania,-42.1286045,148.2910121,,,,,
1981,Tasmania,-43.0786187,147.3510423,,,,,
1982,Tasmania,-42.98,147.4,,,,,
1982,Tasmania,-39.48,147.35,,,,,
1982,Tasmania,-43.45,146.97,,,,,
1982,Tasmania,-41.16,146.337,,,,,
1982,Tasmania,-43.3119208,147.2993471,,,,,
1982,Tasmania,-42.12,148.08,,,,,
1982,Tasmania,-41.1785155,146.339328,,,,,
1982,Tasmania,-42.12,148.08,,,,,
1982,Tasmania,-41.16,146.337,,,,,
1983,Tasmania,-39.32,147.45,,,,,
1983,Tasmania,-39.32,147.45,,,,,
1983,Tasmania,-39.32,147.45,,,,,
1983,Tasmania,-39.32,147.45,,,,,
1983,Tasmania,-43.29,147.27,,,,,
1983,Tasmania,-43.0036185,147.3230416,,,,,
1983,Tasmania,-43.0036185,147.3230416,,,,,
1983,Tasmania,-43.1385,147.8939,,,,,
1983,Tasmania,-43.29,147.27,,,,,
1983,Tasmania,-43.1886203,147.2610456,,,,,
1983,Tasmania,-40.736,145.2915,,,,,
1983,Tasmania,-43.2983,147.3133,,,,,
1983,Tasmania,-40.736,145.2915,,,,,
1983,Tasmania,-42.1454,148.2859,,,,,
1983,Tasmania,-43.1385,147.8939,,,,,
1983,Tasmania,-43.0036185,147.3230416,,,,,
1984,Tasmania,-42.1817,144.815,,,,,
1984,Tasmania,-44.0667,146.403,,,,,
1984,Tasmania,-39.06,148.625,,,,,
1984,Tasmania,-37.99,150.09,,,,,
1984,Tasmania,-43.2786216,147.1810484,,,,,
1984,Tasmania,-43.2786216,147.1810484,,,,,
1984,Tasmania,-43.29,147.27,,,,,
1985,Tasmania,-42.6,148.17,,,,,
1985,Tasmania,-42.6167,148.208,,,,,
1985,Tasmania,-42.6,148.17,,,,,
1985,Tasmania,-43.292,147.271,,,,,
1985,Tasmania,-43.292,147.271,,,,,
1985,Tasmania,-42.808612,147.911029,,,,,
1985,Tasmania,-43.292,147.271,,,,,
1986,Tasmania,-43.133,147.566,,,,,
1986,Tasmania,-54.725,158.885,,,,,
1986,Tasmania,-43.75,143.67,,,,,
1986,Tasmania,-54.5567,158.948,,,,,
1986,Tasmania,-54.3933,158.988,,,,,
1986,Tasmania,-54.7233,158.868,,,,,
1986,Tasmania,-54.75,158.872,,,,,
1986,Tasmania,-41.875,148.304,,,,,
1987,Tasmania,-42.1286045,148.2910121,,,,,
1987,Tasmania,-40.866,147.759,,,,,
1987,Tasmania,-42.1286045,148.2910121,,,,,
1988,Tasmania,-39.031,148.739,,,,,
1988,Tasmania,-41.909,148.752,,,,,
1989,Tasmania,-41.875,148.304,,,,,
1989,Tasmania,-43.3559,147.1849,,,,,
1990,Tasmania,-41.867778,148.301111,,,,,
1990,Tasmania,-41.300833,148.284167,,,,,
1990,Tasmania,-40.718889,148.118056,,,,,
1990,Tasmania,-41.319167,148.250833,,,,,
1990,Tasmania,-39.450556,147.267222,,,,,
1990,Tasmania,-40.4285,148.2768,,,,,
1990,Tasmania,-40.3194,148.2839,,,,,
1990,Tasmania,-39.9489,143.8601,,,,,
1990,Tasmania,-40.4285,148.2768,,,,,
1990,Tasmania,-39.649,144.079,,,,,
1990,Tasmania,-39.7886283,143.8810432,,,,,
1990,Tasmania,-40.4373,148.1966,,,,,
1990,Tasmania,-39.628,143.932,,,,,
1990,Tasmania,-39.9922,143.8876,,,,,
1991,Tasmania,-41.29166,148.366,,,,,
1991,Tasmania,-43.050556,147.334722,,,,,
1991,Tasmania,-40.851111,145.517222,,,,,
1991,Tasmania,-43.33332,147.08332,,,,,
1991,Tasmania,-40.0903,147.9499,,,,,
1991,Tasmania,-40.0991,147.9527,,,,,
1991,Tasmania,-42.939,147.357,,,,,
1992,Tasmania,-40.7431,147.9387,,,,,
1992,Tasmania,-43.5808,146.8895,,,,,
1992,Tasmania,-43.063,147.357,,,,,
1992,Tasmania,-39.449,147.289,,,,,
1992,Tasmania,-40.0486299,143.881047,,,,,
1992,Tasmania,-42.568483,148.08134,,,,,
1992,Tasmania,-39.828527,144.151365,,,,,
1992,Tasmania,-40.918508,145.611361,,,,,
1992,Tasmania,-40.48848,148.341293,,,,,
1992,Tasmania,-42.568483,148.08134,,,,,
1992,Tasmania,-39.438482,147.371298,,,,,
1992,Tasmania,-42.628489,148.021341,,,,,
1992,Tasmania,-42.568483,148.08134,,,,,
1992,Tasmania,-39.518485,147.121306,,,,,
1992,Tasmania,-39.218485,146.971294,,,,,
1992,Tasmania,-43.048498,147.341362,,,,,
1992,Tasmania,-39.488485,147.331293,,,,,
1992,Tasmania,-39.218489,146.9913,,,,,
1992,Tasmania,-42.568483,148.08134,,,,,
1992,Tasmania,-39.218485,146.971294,,,,,
1992,Tasmania,-39.488485,147.331293,,,,,
1992,Tasmania,-40.918508,145.611361,,,,,
1992,Tasmania,-39.208485,147.0213,,,,,
1992,Tasmania,-39.518485,147.121306,,,,,
1992,Tasmania,-42.658492,148.001346,,,,,
1992,Tasmania,-42.62849,147.931352,,,,,
1992,Tasmania,-43.278499,147.161377,,,,,
1992,Tasmania,-43.0585,147.351365,,,,,
1992,Tasmania,-39.218489,146.9913,,,,,
1992,Tasmania,-42.658492,148.001346,,,,,
1992,Tasmania,-42.578489,148.051342,,,,,
1992,Tasmania,-42.408488,148.161335,,,,,
1992,Tasmania,-42.588486,148.041346,,,,,
1992,Tasmania,-40.888511,145.531357,,,,,
1992,Tasmania,-39.438485,147.291291,,,,,
1992,Tasmania,-42.658492,148.001346,,,,,
1992,Tasmania,-43.048498,147.341362,,,,,
1992,Tasmania,-43.0285,147.331371,,,,,
1992,Tasmania,-42.588486,148.041346,,,,,
1992,Tasmania,-42.57849,147.911342,,,,,
1992,Tasmania,-42.548493,147.941343,,,,,
1992,Tasmania,-43.058496,147.331372,,,,,
1992,Tasmania,-42.288485,148.281331,,,,,
1992,Tasmania,-42.578489,148.051342,,,,,
1992,Tasmania,-40.818486,147.661314,,,,,
1992,Tasmania,-39.49849,147.121306,,,,,
1992,Tasmania,-42.408488,148.161335,,,,,
1992,Tasmania,-41.868479,148.311322,,,,,
1992,Tasmania,-40.908514,145.581353,,,,,
1992,Tasmania,-40.888511,145.531357,,,,,
1992,Tasmania,-40.938505,145.711355,,,,,
1992,Tasmania,-42.598491,148.041342,,,,,
1992,Tasmania,-39.208486,146.991302,,,,,
1992,Tasmania,-40.458478,148.221294,,,,,
1992,Tasmania,-40.818486,147.661314,,,,,
1992,Tasmania,-43.278499,147.161377,,,,,
1992,Tasmania,-39.438485,147.291291,,,,,
1992,Tasmania,-40.918508,145.611361,,,,,
1992,Tasmania,-42.578489,148.051342,,,,,
1992,Tasmania,-40.818486,147.661314,,,,,
1992,Tasmania,-40.778484,147.641316,,,,,
1992,Tasmania,-40.908514,145.581353,,,,,
1992,Tasmania,-42.288488,148.271337,,,,,
1992,Tasmania,-39.49849,147.121306,,,,,
1992,Tasmania,-39.438485,147.291291,,,,,
1992,Tasmania,-42.588486,148.041346,,,,,
1992,Tasmania,-42.288483,148.251335,,,,,
1992,Tasmania,-42.408488,148.161335,,,,,
1992,Tasmania,-39.218489,146.9913,,,,,
1992,Tasmania,-39.488485,147.331293,,,,,
1992,Tasmania,-43.058496,147.331372,,,,,
1992,Tasmania,-42.308485,148.231335,,,,,
1992,Tasmania,-42.578489,148.051342,,,,,
1992,Tasmania,-41.89848,148.311321,,,,,
1992,Tasmania,-39.478493,146.641314,,,,,
1992,Tasmania,-42.288483,148.251335,,,,,
1992,Tasmania,-39.208485,147.0213,,,,,
1992,Tasmania,-42.568483,148.08134,,,,,
1992,Tasmania,-42.57849,147.911342,,,,,
1992,Tasmania,-42.628489,148.021341,,,,,
1992,Tasmania,-39.208486,146.991302,,,,,
1992,Tasmania,-40.908514,145.581353,,,,,
1992,Tasmania,-41.89848,148.311321,,,,,
1992,Tasmania,-39.438488,147.271292,,,,,
1992,Tasmania,-42.548493,147.941343,,,,,
1992,Tasmania,-40.778484,147.641316,,,,,
1992,Tasmania,-42.628489,148.021341,,,,,
1992,Tasmania,-39.49849,147.121306,,,,,
1992,Tasmania,-42.548493,147.941343,,,,,
1992,Tasmania,-40.818486,147.661314,,,,,
1992,Tasmania,-39.218485,146.971294,,,,,
1992,Tasmania,-43.048498,147.341362,,,,,
1992,Tasmania,-40.858511,145.511352,,,,,
1992,Tasmania,-42.308485,148.231335,,,,,
1992,Tasmania,-40.848486,147.591323,,,,,
1992,Tasmania,-42.57849,147.911342,,,,,
1992,Tasmania,-39.828527,144.151365,,,,,
1992,Tasmania,-42.598491,148.041342,,,,,
1992,Tasmania,-39.658525,143.831367,,,,,
1992,Tasmania,-42.588486,148.041346,,,,,
1992,Tasmania,-42.598491,148.041342,,,,,
1992,Tasmania,-39.458488,147.291293,,,,,
1992,Tasmania,-39.518485,147.121306,,,,,
1992,Tasmania,-42.56849,148.061347,,,,,
