year,stateProvince,decimalLatitude,decimalLongitude
1986,Tasmania,-43.546492,146.918061
1986,Tasmania,-42.94648,147.987832
1986,Tasmania,-43.136591,147.97844
1986,Tasmania,-42.331717,148.327288
1986,Tasmania,-43.158819,147.39781
1986,Tasmania,-42.054201,148.304098
1986,Tasmania,-43.507982,146.981637
1986,Tasmania,-43.102381,147.974155
1986,Tasmania,-43.48333,146.996552
1986,Tasmania,-42.957465,147.995521
1986,Tasmania,-43.35582,147.330608
1986,Tasmania,-43.493412,147.135359
1986,Tasmania,-42.971763,147.989141
1986,Tasmania,-43.591547,146.923385
1986,Tasmania,-43.564929,146.90639
1986,Tasmania,-42.984624,147.964029
1986,Tasmania,-43.576934,146.92369
1986,Tasmania,-43.49418,147.143317
1986,Tasmania,-43.40781,147.020688
1986,Tasmania,-42.579944,148.087551
1986,Tasmania,-42.868776,147.957753
1986,Tasmania,-43.412311,147.117842
1986,Tasmania,-42.270369,148.310192
1986,Tasmania,-42.583171,148.054074
1986,Tasmania,-42.564821,148.074408
1986,Tasmania,-43.087556,147.964292
1986,Tasmania,-41.790137,148.270188
1986,Tasmania,-40.979719,148.33035
1986,Tasmania,-43.127302,147.963717
1986,Tasmania,-43.354149,147.373567
1986,Tasmania,-42.739109,147.927322
1986,Tasmania,-41.90613,148.32039
1986,Tasmania,-43.437104,147.000984
1986,Tasmania,-43.201113,147.872873
1986,Tasmania,-42.219775,148.34525
1986,Tasmania,-43.183061,147.86684
1986,Tasmania,-43.113455,147.389311
1986,Tasmania,-41.868188,148.306456
1986,Tasmania,-41.826233,148.269062
1986,Tasmania,-43.348215,147.324652
1986,Tasmania,-43.443559,146.982692
1986,Tasmania,-43.425018,147.019712
1986,Tasmania,-42.879741,147.966589
1986,Tasmania,-43.162781,147.866422
1986,Tasmania,-40.972909,148.323008
1986,Tasmania,-40.991532,148.349375
1986,Tasmania,-43.348707,147.368511
1986,Tasmania,-43.478299,147.324888
1986,Tasmania,-43.048102,147.951001
1986,Tasmania,-43.007761,147.942748
1986,Tasmania,-43.115536,147.979167
1986,Tasmania,-42.258129,148.320099
1986,Tasmania,-43.539966,146.996028
1986,Tasmania,-43.035582,147.339205
1986,Tasmania,-43.409332,147.098008
1986,Tasmania,-41.752418,148.300108
1986,Tasmania,-42.320858,148.318507
1986,Tasmania,-42.57187,148.066024
1986,Tasmania,-42.739436,148.013306
1986,Tasmania,-43.192497,147.87767
1986,Tasmania,-42.950881,147.990801
1986,Tasmania,-43.324469,147.325666
1986,Tasmania,-43.507863,146.981659
1986,Tasmania,-43.09496,147.37707
1986,Tasmania,-43.471253,147.185199
1986,Tasmania,-43.143353,147.859825
1986,Tasmania,-41.955891,148.309244
1986,Tasmania,-42.209084,148.347206
1986,Tasmania,-43.352716,147.05987
1986,Tasmania,-42.931412,147.993165
1986,Tasmania,-43.554304,146.895021
1986,Tasmania,-43.079635,147.961203
1986,Tasmania,-43.398972,147.362206
1986,Tasmania,-43.364922,147.054868
